age,radius,mass,convective_radius,convective_mass,radiative_moment_of_inertia,convective_moment_of_inertia,luminosity
3.553709624299999792e+06,1.961541353371537122e+00,1.499999999999999778e+00,1.008469068382069622e+00,8.205534705429339271e-01,4.694525980203401172e-02,1.393878434392624988e-01,1.869758997938797851e+00
3.573709624299999792e+06,1.958622353394188220e+00,1.499999999999999778e+00,1.008940487893270621e+00,8.243309474280274829e-01,4.728519019683342234e-02,1.388320376452467364e-01,1.865975582685905021e+00
3.593709624299999792e+06,1.955735834786743510e+00,1.499999999999999778e+00,1.009490475435457002e+00,8.282032518516839747e-01,4.764355117896212910e-02,1.382565899567373968e-01,1.862232462796438615e+00
3.613709624299999792e+06,1.952880967632335540e+00,1.499999999999999778e+00,1.010054517656118866e+00,8.320630132052820871e-01,4.796144093863960456e-02,1.377202498357832927e-01,1.858554236789054848e+00
3.633709624299999792e+06,1.950057538562594450e+00,1.499999999999999778e+00,1.010513191691770452e+00,8.357702640829917096e-01,4.828913302679559844e-02,1.371731112822487941e-01,1.855002559514371319e+00
3.653709624299999792e+06,1.947265042922829092e+00,1.499999999999999778e+00,1.011008244807356515e+00,8.395133271874786196e-01,4.862939298738361282e-02,1.366121676595166701e-01,1.851487893270515217e+00
3.673709624299999792e+06,1.944502422931436270e+00,1.499999999999999778e+00,1.011583841083602664e+00,8.433379143581958282e-01,4.894653541416564557e-02,1.360733119662959345e-01,1.848096491426758359e+00
3.693709624299999792e+06,1.941769306439557141e+00,1.499999999999999778e+00,1.011918736551223885e+00,8.468376429590701582e-01,4.927049321615437072e-02,1.355262696776824149e-01,1.844795827765068008e+00
3.713709624299999792e+06,1.939065363201883940e+00,1.499999999999999778e+00,1.012317173661917424e+00,8.504108134725585355e-01,4.960862112392126766e-02,1.349642617046818704e-01,1.841520057079435446e+00
3.733709624299999792e+06,1.936390575777479972e+00,1.499999999999999778e+00,1.012847187931775972e+00,8.541392810256175361e-01,4.994745606922011694e-02,1.344002881152459861e-01,1.838352488165077014e+00
3.753709624299999792e+06,1.933744922195292038e+00,1.499999999999999778e+00,1.013421640354254416e+00,8.579114133728962255e-01,5.028066343518538400e-02,1.338407841627216321e-01,1.835263426125166575e+00
3.773709624299999792e+06,1.931127792248974906e+00,1.499999999999999778e+00,1.013706675122879153e+00,8.612864851299010249e-01,5.059878076513622813e-02,1.332952925321072013e-01,1.832222270040091194e+00
3.793709624299999792e+06,1.928538904391945197e+00,1.499999999999999778e+00,1.014221499920722636e+00,8.649647779791161950e-01,5.092121096740580277e-02,1.327446836847946121e-01,1.829256336496861923e+00
3.813709624299999792e+06,1.925977662008198532e+00,1.499999999999999778e+00,1.014725792203672983e+00,8.686170834220481307e-01,5.123752322815915833e-02,1.321988171872522100e-01,1.826392036059707014e+00
3.833709624299999792e+06,1.923443803936668139e+00,1.499999999999999778e+00,1.015337538789100158e+00,8.724088587057465816e-01,5.156054667149879978e-02,1.316449788217173289e-01,1.823596049740650260e+00
3.853709624299999792e+06,1.920937084871684020e+00,1.499999999999999778e+00,1.015868830551088342e+00,8.760326852250336360e-01,5.186053140501482167e-02,1.311133241976036035e-01,1.820931391424493340e+00
