age,radius,mass,convective_radius,radiative_mass,radiative_moment_of_inertia,convective_moment_of_inertia,luminosity
9.096185625700000674e+04,4.303686866520191501e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.920191879770775656e-01,5.460390835579513436e+00
9.198585625700000674e+04,4.285282434709732691e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.920745933090216850e-01,5.414580058438468235e+00
9.326585625700000674e+04,4.268344839973724270e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.921258293506081238e-01,5.372385784502478501e+00
9.486585625700000674e+04,4.252838052051007622e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.921728800199324627e-01,5.333845160705791066e+00
9.686585625700000674e+04,4.238722643321478856e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.922157099821060200e-01,5.298894221839677954e+00
9.886585625700000674e+04,4.225953800086071688e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.922543201431515525e-01,5.267391243289767822e+00
1.008658562600000005e+05,4.214484327617839199e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.922893358852974799e-01,5.239230877256561669e+00
1.028658562600000005e+05,4.204262753176741363e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.923207705723798400e-01,5.214228091236493334e+00
1.048658562600000005e+05,4.195233659426033768e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.923486137851366240e-01,5.192237627126321087e+00
1.068658562600000005e+05,4.187338458855239587e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.923728868151033666e-01,5.173149810867742282e+00
1.088658562600000005e+05,4.180514105415750414e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.923939067702552241e-01,5.156741851457563364e+00
1.108658562600000005e+05,4.174695015742145188e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.924119624453554667e-01,5.142855897075810923e+00
1.128658562600000005e+05,4.169811315998096291e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.924271057102085736e-01,5.131308931119617611e+00
1.148658562600000005e+05,4.165788948560555482e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.924396819860019203e-01,5.121882352941176109e+00
1.168658562600000005e+05,4.162551698566217873e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.924500061156537711e-01,5.114322883870528358e+00
1.188658562600000005e+05,4.160019877007406386e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.924580959931141977e-01,5.108499535663320934e+00
1.208658562600000005e+05,4.158109518448887876e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.924639944279598058e-01,5.104168995900245420e+00
1.228658562600000005e+05,4.156733061224488601e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.924683573806880987e-01,5.101147681714193638e+00
1.248658562600000005e+05,4.155799652313755033e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.924715415977711341e-01,5.099194772248520913e+00
1.268658562600000005e+05,4.155215913610726730e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.924736046116559685e-01,5.098163401209539813e+00
1.288658562600000005e+05,4.154884605766834049e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.924746266053591059e-01,5.097550476794490137e+00
1.308658562600000005e+05,4.154706459715960420e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.924752986477609451e-01,5.097224784253323371e+00
1.328658562600000005e+05,4.154576900043035259e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.924760103286597412e-01,5.096988584112889242e+00
1.348658562600000005e+05,4.154393983102673715e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.924765833880721644e-01,5.096655122426327900e+00
1.368658562600000005e+05,4.154092062787377415e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.924777145575210791e-01,5.096017350336359719e+00
1.388658562600000005e+05,4.153640941131168773e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.924791485650863831e-01,5.094934517203106417e+00
1.408658562600000005e+05,4.153265043828850978e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.924802641056422292e-01,5.093972479557860034e+00
1.428658562600000005e+05,4.153032528030079717e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.924809239167364627e-01,5.093455706811026218e+00
1.448658562600000005e+05,4.152856956216448125e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.924815302724863231e-01,5.093023964302701323e+00
1.468658562600000005e+05,4.152648915717229272e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.924819617658383719e-01,5.092549729325691388e+00
1.488658562600000005e+05,4.152330218351490743e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.924830184149131096e-01,5.091848716845227329e+00
1.508658562600000005e+05,4.151914029309835996e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.924842728034609762e-01,5.090885682574915805e+00
1.528658562600000005e+05,4.151413640399555405e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.924858370518018336e-01,5.089674556615098489e+00
1.548658562600000005e+05,4.150842376044757032e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.924875637047271382e-01,5.088350177806971075e+00
1.568658562600000005e+05,4.150210916215542056e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.924895762078415729e-01,5.086830890846902875e+00
1.588658562600000005e+05,4.149528846859498188e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.924916784072119025e-01,5.085151985322429624e+00
1.608658562600000005e+05,4.148803814129424339e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.924939427846609763e-01,5.083422410473621866e+00
1.628658562600000005e+05,4.148044131916917010e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.924963863281161092e-01,5.081587465174747464e+00
1.648658562600000005e+05,4.147254449477904004e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.924990282905614802e-01,5.079661464585833563e+00
1.668658562600000005e+05,4.146438948107544320e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.925016238193390239e-01,5.077642506059026672e+00
1.688658562600000005e+05,4.145600113026341127e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.925041944324899501e-01,5.075695621644882749e+00
1.708658562600000005e+05,4.144741249858433285e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.925067616480554133e-01,5.073696822125075556e+00
1.728658562600000005e+05,4.143863737570498529e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.925093469840765958e-01,5.071633989444833013e+00
1.748658562600000005e+05,4.142970334775418983e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.925122383292939277e-01,5.069500328433258929e+00
1.768658562600000005e+05,4.142062259167817118e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.925148689664544499e-01,5.067341865047904292e+00
1.788658562600000005e+05,4.141140764230219595e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.925178509139504612e-01,5.065145575211214890e+00
1.808658562600000005e+05,4.140205932184192861e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.925208838252281951e-01,5.062904210740899913e+00
1.828658562600000005e+05,4.139258614464653263e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.925236673537338850e-01,5.060669573489771977e+00
1.848658562600000005e+05,4.138298773698156907e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.925268135178599405e-01,5.058375818251827027e+00
1.868658562600000005e+05,4.137327741511697354e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.925297556003532917e-01,5.055962875716323524e+00
1.888658562600000005e+05,4.136344846768895245e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.925327814899544243e-01,5.053547373666447129e+00
1.908658562600000005e+05,4.135350221749076738e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.925355885750525964e-01,5.051090103966113354e+00
1.928658562600000005e+05,4.134343954336451077e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.925387866089831590e-01,5.048611135020044216e+00
1.948658562600000005e+05,4.133325539649820968e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.925420729801353981e-01,5.046174953000067021e+00
1.968658562600000005e+05,4.132294739178689724e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.925451450768986272e-01,5.043761262995763772e+00
1.988658562600000005e+05,4.131251318942670281e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.925482885229563013e-01,5.041258986613511794e+00
2.008658562600000005e+05,4.130195702280911263e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.925515225712926271e-01,5.038760606129242703e+00
2.028658562600000005e+05,4.129127207411265488e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.925548664748918115e-01,5.036229404969533974e+00
2.048658562600000005e+05,4.128046027543091689e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.925580153570861930e-01,5.033687943101767814e+00
2.068658562600000005e+05,4.126952438560328673e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.925612525765022509e-01,5.031132596434799709e+00
2.088658562600000005e+05,4.125846423928061668e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.925645951210672724e-01,5.028447869713922103e+00
2.108658562600000005e+05,4.124727621463678773e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.925680599787084335e-01,5.025780651883393624e+00
2.128658562600000005e+05,4.123595707490542495e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.925716063784003729e-01,5.023122222473894283e+00
2.148658562600000005e+05,4.122450017214432272e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.925752513080703499e-01,5.020437903463271567e+00
2.168658562600000005e+05,4.121290783483203768e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.925790117556456238e-01,5.017693469840765808e+00
2.188658562600000005e+05,4.120118228951956674e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.925825805794015300e-01,5.014834061926656261e+00
2.208658562600000005e+05,4.118931924618903118e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.925862388729076002e-01,5.011949330675665948e+00
2.228658562600000005e+05,4.117731173979024106e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.925900013590341464e-01,5.009058778228271613e+00
2.248658562600000005e+05,4.116516136265826020e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.925938827606513970e-01,5.006123536206934510e+00
2.268658562600000005e+05,4.115286976375455374e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.925975736709777952e-01,5.003137602210694368e+00
2.288658562600000005e+05,4.114043223402568117e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.926010865478266498e-01,4.999988878570294837e+00
